"ISSUE","QX1","QX2","QX3","QX4","QX5","QX6","QX7","DATES"
2025065,2,0,0,8,5,8,10,"2025-6-10"
2025064,0,2,9,3,8,3,6,"2025-6-8"
2025063,5,4,9,2,7,5,12,"2025-6-6"
2025062,1,2,6,6,8,2,5,"2025-6-3"
2025061,2,7,0,6,3,6,5,"2025-6-1"
2025060,0,5,1,7,7,0,5,"2025-5-30"
2025059,6,4,6,7,9,5,14,"2025-5-27"
2025058,1,3,6,6,8,6,13,"2025-5-25"
2025057,0,8,7,0,0,6,3,"2025-5-23"
2025056,6,0,7,4,8,2,2,"2025-5-20"
2025055,1,4,6,1,1,7,1,"2025-5-18"
2025054,9,4,1,3,1,5,4,"2025-5-16"
2025053,5,0,0,6,3,4,10,"2025-5-13"
2025052,1,5,9,2,7,0,8,"2025-5-11"
2025051,0,3,3,0,5,4,11,"2025-5-9"
2025050,7,8,3,1,1,1,4,"2025-5-6"
2025049,2,3,5,4,8,7,5,"2025-5-4"
2025048,2,1,7,8,7,8,2,"2025-5-2"
2025047,3,5,2,1,0,3,12,"2025-4-29"
2025046,8,5,7,2,6,2,2,"2025-4-27"
2025045,2,3,4,6,5,1,1,"2025-4-25"
2025044,0,6,1,9,0,8,11,"2025-4-22"
2025043,0,3,0,8,5,7,11,"2025-4-20"
2025042,6,3,9,7,9,7,4,"2025-4-18"
2025041,7,5,1,8,7,1,4,"2025-4-15"
2025040,7,8,3,3,9,8,9,"2025-4-13"
2025039,3,4,5,7,3,3,4,"2025-4-11"
2025038,9,4,9,1,3,5,2,"2025-4-8"
2025037,0,2,2,2,6,6,7,"2025-4-6"
2025036,2,8,4,8,6,5,9,"2025-4-4"
2025035,6,6,6,8,0,3,8,"2025-4-1"
2025034,0,9,2,8,4,0,6,"2025-3-30"
2025033,1,7,7,7,6,6,8,"2025-3-28"
2025032,9,0,5,0,2,5,9,"2025-3-25"
2025031,4,7,8,1,3,5,7,"2025-3-23"
2025030,6,4,7,8,8,8,14,"2025-3-21"
2025029,1,4,9,0,5,7,1,"2025-3-18"
2025028,3,4,1,6,9,7,3,"2025-3-16"
2025027,8,2,3,5,6,0,12,"2025-3-14"
2025026,9,5,4,3,4,8,12,"2025-3-11"
2025025,8,8,6,4,0,1,14,"2025-3-9"
2025024,9,0,7,0,7,0,0,"2025-3-7"
2025023,1,2,4,5,5,7,8,"2025-3-4"
2025022,1,2,0,4,0,6,5,"2025-3-2"
2025021,3,2,2,1,2,8,13,"2025-2-28"
2025020,7,9,8,2,0,5,9,"2025-2-25"
2025019,0,5,0,5,2,3,10,"2025-2-23"
2025018,6,9,6,6,4,2,10,"2025-2-21"
2025017,1,3,0,6,6,8,10,"2025-2-18"
2025016,9,1,5,4,7,6,11,"2025-2-16"
2025015,0,3,6,5,4,9,13,"2025-2-14"
2025014,6,7,5,1,3,5,3,"2025-2-11"
2025013,3,7,4,7,9,0,7,"2025-2-9"
2025012,4,5,6,7,9,5,11,"2025-2-7"
2025011,1,8,7,2,7,9,14,"2025-1-26"
2025010,3,4,8,4,1,0,3,"2025-1-24"
2025009,8,3,7,8,7,4,6,"2025-1-21"
2025008,1,1,3,8,2,4,10,"2025-1-19"
2025007,0,2,7,5,0,2,1,"2025-1-17"
2025006,6,6,4,1,2,5,11,"2025-1-14"
2025005,1,6,3,3,2,4,3,"2025-1-12"
2025004,4,7,2,0,0,2,5,"2025-1-10"
2025003,8,9,3,5,4,8,11,"2025-1-7"
2025002,6,9,6,4,2,8,14,"2025-1-5"
2025001,2,3,3,0,9,2,0,"2025-1-3"
2024151,7,6,4,0,8,5,0,"2024-12-31"
2024150,3,4,6,7,6,6,10,"2024-12-29"
2024149,0,7,0,8,4,8,2,"2024-12-27"
2024148,4,6,5,0,9,8,11,"2024-12-24"
2024147,4,8,2,9,0,4,6,"2024-12-22"
2024146,0,2,6,2,0,9,13,"2024-12-20"
2024145,9,1,3,8,7,0,4,"2024-12-17"
2024144,3,9,9,3,5,9,10,"2024-12-15"
2024143,2,8,7,1,2,9,4,"2024-12-13"
2024142,5,8,9,9,3,2,9,"2024-12-10"
2024141,1,5,8,5,1,3,8,"2024-12-8"
2024140,2,9,6,1,2,6,3,"2024-12-6"
2024139,9,7,0,1,5,4,5,"2024-12-3"
2024138,4,6,5,1,7,2,14,"2024-12-1"
2024137,3,9,1,9,2,8,0,"2024-11-29"
2024136,7,7,7,8,1,6,1,"2024-11-26"
2024135,0,2,5,3,9,7,12,"2024-11-24"
2024134,1,3,9,8,8,8,10,"2024-11-22"
2024133,2,7,7,2,9,5,5,"2024-11-19"
2024132,5,4,2,8,0,3,5,"2024-11-17"
2024131,5,2,2,9,9,3,12,"2024-11-15"
2024130,7,8,0,0,8,3,6,"2024-11-12"
2024129,4,0,6,6,4,7,5,"2024-11-10"
2024128,9,3,0,0,9,8,1,"2024-11-8"
2024127,7,7,6,5,8,2,2,"2024-11-5"
2024126,9,8,0,2,5,1,0,"2024-11-3"
2024125,9,9,2,9,9,0,11,"2024-11-1"
2024124,3,7,7,5,3,0,9,"2024-10-29"
2024123,0,3,1,6,2,1,10,"2024-10-27"
2024122,3,7,6,8,2,1,11,"2024-10-25"
2024121,2,0,7,8,8,1,4,"2024-10-22"
2024120,0,8,3,0,4,8,4,"2024-10-20"
2024119,0,7,3,1,9,5,6,"2024-10-18"
2024118,9,9,6,9,7,0,6,"2024-10-15"
2024117,1,4,8,4,7,5,6,"2024-10-13"
2024116,0,4,6,7,3,4,9,"2024-10-11"
2024115,8,4,4,8,8,9,5,"2024-10-8"
2024114,7,8,1,6,7,4,1,"2024-10-6"
2024113,2,4,6,3,4,4,10,"2024-9-29"
2024112,5,3,1,6,7,3,4,"2024-9-27"
2024111,3,4,2,4,1,1,0,"2024-9-24"
2024110,5,4,1,5,4,1,5,"2024-9-22"
2024109,9,6,9,3,2,1,14,"2024-9-20"
2024108,3,7,5,7,6,2,14,"2024-9-17"
2024107,3,8,5,7,9,0,2,"2024-9-15"
2024106,3,4,9,3,2,8,5,"2024-9-13"
2024105,1,4,4,0,2,0,2,"2024-9-10"
2024104,5,0,8,2,6,8,0,"2024-9-8"
2024103,0,6,2,5,8,5,6,"2024-9-6"
2024102,4,9,7,2,2,9,8,"2024-9-3"
2024101,6,2,5,0,3,3,6,"2024-9-1"
2024100,8,8,7,2,8,5,12,"2024-8-30"
2024099,1,1,7,7,7,1,3,"2024-8-27"
2024098,2,4,3,9,5,7,9,"2024-8-25"
2024097,9,8,0,1,5,0,2,"2024-8-23"
2024096,2,2,7,5,9,0,6,"2024-8-20"
2024095,7,6,9,0,3,6,2,"2024-8-18"
2024094,6,3,3,3,5,6,6,"2024-8-16"
2024093,2,3,0,0,7,9,13,"2024-8-13"
2024092,3,0,4,7,2,2,8,"2024-8-11"
2024091,7,6,1,1,9,4,4,"2024-8-9"
2024090,4,6,1,6,8,0,3,"2024-8-6"
2024089,2,9,2,0,1,6,8,"2024-8-4"
2024088,5,6,3,9,9,1,1,"2024-8-2"
2024087,0,1,1,7,6,3,0,"2024-7-30"
2024086,7,5,8,0,3,4,11,"2024-7-28"
2024085,4,3,7,6,3,7,4,"2024-7-26"
2024084,1,5,6,6,5,3,9,"2024-7-23"
2024083,4,6,6,2,0,8,10,"2024-7-21"
2024082,5,7,7,6,7,7,0,"2024-7-19"
2024081,2,7,4,8,2,5,1,"2024-7-16"
2024080,4,5,9,7,9,0,0,"2024-7-14"
2024079,8,3,2,0,4,9,11,"2024-7-12"
2024078,9,3,4,9,1,3,11,"2024-7-9"
2024077,6,2,3,2,8,8,0,"2024-7-7"
2024076,2,4,1,2,4,8,4,"2024-7-5"
2024075,6,5,9,8,8,1,11,"2024-7-2"
2024074,5,2,8,1,7,9,5,"2024-6-30"
2024073,7,4,1,7,8,3,10,"2024-6-28"
2024072,5,4,2,7,7,6,12,"2024-6-25"
2024071,3,9,9,2,2,7,5,"2024-6-23"
2024070,5,5,8,8,3,8,14,"2024-6-21"
2024069,8,0,7,2,1,8,2,"2024-6-18"
2024068,6,5,8,3,2,3,7,"2024-6-16"
2024067,3,4,6,4,3,0,8,"2024-6-14"
2024066,7,1,5,6,3,4,0,"2024-6-11"
2024065,9,5,5,1,4,4,6,"2024-6-9"
2024064,8,4,4,4,2,1,10,"2024-6-7"
2024063,6,3,1,5,3,6,3,"2024-6-4"
2024062,4,7,3,1,8,9,6,"2024-6-2"
2024061,1,5,9,0,3,7,1,"2024-5-31"
2024060,2,4,7,0,7,1,1,"2024-5-28"
2024059,7,0,8,5,2,6,4,"2024-5-26"
2024058,3,9,3,1,7,8,12,"2024-5-24"
2024057,1,9,6,8,6,2,10,"2024-5-21"
2024056,8,6,3,3,8,9,8,"2024-5-19"
2024055,6,5,2,7,6,3,14,"2024-5-17"
2024054,8,6,2,3,1,4,7,"2024-5-14"
2024053,1,9,6,3,6,9,10,"2024-5-12"
2024052,1,3,5,0,9,4,14,"2024-5-10"
2024051,5,6,5,5,7,7,1,"2024-5-7"
2024050,4,9,6,9,2,6,3,"2024-5-5"
2024049,3,5,3,8,8,1,1,"2024-5-3"
2024048,5,5,6,7,0,2,5,"2024-4-30"
2024047,4,2,7,6,4,5,2,"2024-4-28"
2024046,4,3,8,5,2,4,6,"2024-4-26"
2024045,5,2,9,7,6,9,7,"2024-4-23"
2024044,1,9,9,6,7,0,2,"2024-4-21"
2024043,6,7,2,3,3,8,11,"2024-4-19"
2024042,8,0,1,5,3,0,2,"2024-4-16"
2024041,9,8,9,8,8,8,1,"2024-4-14"
2024040,6,2,2,0,7,2,7,"2024-4-12"
2024039,1,5,5,3,1,2,9,"2024-4-9"
2024038,7,8,9,9,2,2,4,"2024-4-7"
2024037,1,1,0,8,1,9,0,"2024-4-5"
2024036,1,7,5,5,2,9,8,"2024-4-2"
2024035,5,0,7,9,7,9,7,"2024-3-31"
2024034,9,1,7,3,3,5,3,"2024-3-29"
2024033,8,3,4,0,2,1,12,"2024-3-26"
2024032,7,5,6,9,5,7,4,"2024-3-24"
2024031,5,6,8,6,3,6,8,"2024-3-22"
2024030,7,5,8,2,7,9,3,"2024-3-19"
2024029,0,4,1,5,7,2,8,"2024-3-17"
2024028,7,9,2,5,6,4,3,"2024-3-15"
2024027,3,1,4,3,4,8,1,"2024-3-12"
2024026,2,6,1,0,4,7,10,"2024-3-10"
2024025,4,1,8,1,3,0,13,"2024-3-8"
2024024,2,0,4,4,6,2,1,"2024-3-5"
2024023,4,0,2,0,4,4,13,"2024-3-3"
2024022,1,6,7,6,4,6,6,"2024-3-1"
2024021,1,9,6,4,7,5,6,"2024-2-27"
2024020,1,6,5,3,2,3,14,"2024-2-25"
2024019,5,8,2,7,4,5,4,"2024-2-23"
2024018,9,4,7,8,2,1,0,"2024-2-20"
2024017,1,3,9,5,7,1,3,"2024-2-18"
2024016,5,9,3,5,8,4,10,"2024-2-6"
2024015,2,1,1,7,4,0,11,"2024-2-4"
2024014,3,7,1,9,0,5,5,"2024-2-2"
2024013,1,0,2,1,6,6,4,"2024-1-30"
2024012,1,5,7,3,4,5,10,"2024-1-28"
2024011,2,1,9,2,5,9,10,"2024-1-26"
2024010,6,7,9,3,1,1,4,"2024-1-23"
2024009,4,3,5,1,8,7,9,"2024-1-21"
2024008,5,9,9,0,9,2,1,"2024-1-19"
2024007,2,0,9,9,7,2,3,"2024-1-16"
2024006,3,2,3,4,1,6,4,"2024-1-14"
2024005,9,1,7,5,9,5,7,"2024-1-12"
2024004,3,4,1,1,8,2,6,"2024-1-9"
2024003,0,5,1,4,6,2,11,"2024-1-7"
2024002,8,9,2,9,2,1,11,"2024-1-5"
2024001,9,8,8,4,3,1,9,"2024-1-2"
2023151,3,2,8,5,7,0,11,"2023-12-31"
2023150,1,6,1,2,9,3,5,"2023-12-29"
2023149,8,3,5,9,2,8,6,"2023-12-26"
2023148,0,4,8,1,0,6,3,"2023-12-24"
2023147,7,3,1,1,8,1,9,"2023-12-22"
2023146,1,2,9,8,0,1,6,"2023-12-19"
2023145,5,1,6,2,4,4,8,"2023-12-17"
2023144,1,2,1,9,7,0,0,"2023-12-15"
2023143,1,2,6,0,9,5,13,"2023-12-12"
2023142,3,3,8,6,1,5,3,"2023-12-10"
2023141,5,1,4,4,6,2,6,"2023-12-8"
2023140,0,0,0,3,6,9,2,"2023-12-5"
2023139,6,1,4,6,1,4,9,"2023-12-3"
2023138,4,6,7,2,7,5,7,"2023-12-1"
2023137,7,8,6,4,7,6,13,"2023-11-28"
2023136,7,9,7,1,9,1,5,"2023-11-26"
2023135,4,6,9,5,5,5,9,"2023-11-24"
2023134,9,9,0,6,5,8,11,"2023-11-21"
2023133,3,4,5,6,9,3,10,"2023-11-19"
2023132,7,2,0,7,9,3,1,"2023-11-17"
2023131,4,7,4,2,3,5,2,"2023-11-14"
2023130,7,5,6,8,0,9,12,"2023-11-12"
2023129,4,4,0,4,5,4,11,"2023-11-10"
2023128,5,2,1,2,7,4,11,"2023-11-7"
2023127,7,3,1,1,7,9,5,"2023-11-5"
2023126,2,8,1,9,6,3,10,"2023-11-3"
2023125,0,8,5,6,7,1,9,"2023-10-31"
2023124,8,3,0,9,5,1,8,"2023-10-29"
2023123,2,3,5,2,3,4,11,"2023-10-27"
2023122,3,6,1,5,9,8,12,"2023-10-24"
2023121,8,5,6,8,3,4,10,"2023-10-22"
2023120,6,9,3,6,7,8,14,"2023-10-20"
2023119,9,1,9,2,5,5,10,"2023-10-17"
2023118,4,0,4,5,4,4,11,"2023-10-15"
2023117,6,9,3,5,8,2,4,"2023-10-13"
2023116,1,2,5,5,3,5,6,"2023-10-10"
2023115,0,8,1,0,7,7,10,"2023-10-8"
2023114,6,1,5,3,3,1,14,"2023-10-6"
2023113,2,5,1,9,8,0,3,"2023-9-29"
2023112,1,8,1,6,8,8,9,"2023-9-26"
2023111,5,3,8,8,4,8,14,"2023-9-24"
2023110,3,5,1,4,3,0,6,"2023-9-22"
2023109,3,8,3,1,9,7,0,"2023-9-19"
2023108,0,1,9,8,9,9,13,"2023-9-17"
2023107,0,2,0,5,6,4,5,"2023-9-15"
2023106,0,5,8,1,2,5,7,"2023-9-12"
2023105,3,2,9,7,6,1,0,"2023-9-10"
2023104,9,4,4,8,2,8,10,"2023-9-8"
2023103,3,4,0,8,9,5,11,"2023-9-5"
2023102,5,9,0,4,3,1,0,"2023-9-3"
2023101,5,6,6,2,9,8,6,"2023-9-1"
2023100,9,4,3,9,3,1,6,"2023-8-29"
2023099,9,5,4,5,3,6,14,"2023-8-27"
2023098,1,6,0,9,4,9,1,"2023-8-25"
2023097,7,6,4,5,6,3,14,"2023-8-22"
2023096,4,5,6,2,8,4,11,"2023-8-20"
2023095,9,3,3,7,7,9,11,"2023-8-18"
2023094,3,6,4,2,2,8,2,"2023-8-15"
2023093,1,8,0,0,3,7,2,"2023-8-13"
2023092,2,1,1,1,2,6,5,"2023-8-11"
2023091,9,9,3,9,5,3,4,"2023-8-8"
2023090,3,3,9,1,8,7,12,"2023-8-6"
2023089,3,2,2,5,1,4,8,"2023-8-4"
2023088,5,6,2,5,0,7,10,"2023-8-1"
2023087,4,1,1,1,3,6,14,"2023-7-30"
2023086,7,0,9,8,2,5,5,"2023-7-28"
2023085,9,7,4,6,7,3,8,"2023-7-25"
2023084,0,1,5,8,7,0,10,"2023-7-23"
2023083,4,9,9,1,2,3,4,"2023-7-21"
2023082,6,4,3,8,3,8,11,"2023-7-18"
2023081,3,1,0,7,1,9,14,"2023-7-16"
2023080,8,4,1,7,8,6,10,"2023-7-14"
2023079,8,5,2,7,9,4,5,"2023-7-11"
2023078,3,4,4,7,1,2,5,"2023-7-9"
2023077,4,7,7,1,0,8,14,"2023-7-7"
2023076,9,9,3,2,5,8,4,"2023-7-4"
2023075,5,4,2,3,1,9,1,"2023-7-2"
2023074,0,8,1,6,3,2,12,"2023-6-30"
2023073,3,0,7,7,7,0,9,"2023-6-27"
2023072,8,7,0,2,5,8,4,"2023-6-25"
2023071,4,9,9,3,1,2,4,"2023-6-23"
2023070,8,7,9,2,6,2,9,"2023-6-20"
2023069,4,2,8,8,2,7,5,"2023-6-18"
2023068,9,1,0,1,0,1,11,"2023-6-16"
2023067,2,9,0,3,0,6,1,"2023-6-13"
2023066,2,2,4,3,8,5,3,"2023-6-11"
2023065,3,0,9,6,9,2,6,"2023-6-9"
2023064,2,6,1,5,7,7,0,"2023-6-6"
2023063,6,2,1,9,3,2,5,"2023-6-4"
2023062,6,2,6,9,2,9,5,"2023-6-2"
2023061,4,7,1,1,2,4,9,"2023-5-30"
2023060,8,7,1,4,2,9,13,"2023-5-28"
2023059,7,3,6,0,7,2,2,"2023-5-26"
2023058,1,9,2,8,7,5,12,"2023-5-23"
2023057,0,4,2,1,8,4,5,"2023-5-21"
2023056,6,4,8,8,8,7,13,"2023-5-19"
2023055,7,8,6,5,0,6,7,"2023-5-16"
2023054,9,9,9,9,2,7,8,"2023-5-14"
2023053,5,5,7,7,4,3,2,"2023-5-12"
2023052,1,7,3,6,7,1,7,"2023-5-9"
2023051,0,3,0,9,5,5,2,"2023-5-7"
2023050,4,0,9,8,7,3,7,"2023-5-5"
2023049,8,7,9,5,6,1,9,"2023-5-2"
2023048,1,1,7,8,0,7,12,"2023-4-30"
2023047,9,0,0,5,1,0,5,"2023-4-28"
2023046,3,8,2,8,4,1,12,"2023-4-25"
2023045,1,4,5,3,3,0,5,"2023-4-23"
2023044,8,1,3,5,3,8,5,"2023-4-21"
2023043,1,4,5,3,8,3,9,"2023-4-18"
2023042,0,2,0,5,6,0,5,"2023-4-16"
2023041,8,6,0,0,4,5,1,"2023-4-14"
2023040,8,2,1,4,6,5,3,"2023-4-11"
2023039,0,7,3,0,7,4,5,"2023-4-9"
2023038,1,8,5,8,3,5,1,"2023-4-7"
2023037,1,9,5,0,9,0,6,"2023-4-4"
2023036,9,8,0,9,6,5,12,"2023-4-2"
2023035,6,1,7,1,2,3,1,"2023-3-31"
2023034,7,2,4,5,0,6,13,"2023-3-28"
2023033,6,8,8,2,1,6,14,"2023-3-26"
2023032,0,8,0,4,1,4,10,"2023-3-24"
2023031,4,5,0,7,2,6,10,"2023-3-21"
2023030,1,1,4,4,8,5,10,"2023-3-19"
2023029,3,6,0,8,0,7,4,"2023-3-17"
2023028,5,1,2,6,0,1,13,"2023-3-14"
2023027,8,6,9,8,6,4,12,"2023-3-12"
2023026,0,7,3,3,2,2,4,"2023-3-10"
2023025,7,8,5,4,3,3,9,"2023-3-7"
2023024,6,6,9,2,0,8,1,"2023-3-5"
2023023,5,6,0,0,8,5,12,"2023-3-3"
2023022,7,9,9,7,7,6,11,"2023-2-28"
2023021,6,1,6,8,2,6,7,"2023-2-26"
2023020,2,2,5,4,9,5,3,"2023-2-24"
2023019,1,7,4,7,6,7,2,"2023-2-21"
2023018,2,8,0,4,2,3,4,"2023-2-19"
2023017,6,6,5,7,2,9,1,"2023-2-17"
2023016,5,2,7,8,1,8,10,"2023-2-14"
2023015,7,5,7,3,9,2,9,"2023-2-12"
2023014,1,5,2,4,1,6,11,"2023-2-10"
2023013,5,8,2,4,4,1,13,"2023-2-7"
2023012,4,7,6,3,0,0,0,"2023-2-5"
2023011,7,6,8,9,5,9,1,"2023-2-3"
2023010,3,3,9,4,2,9,5,"2023-1-31"
2023009,0,4,2,2,4,2,14,"2023-1-29"
2023008,2,8,3,2,7,8,11,"2023-1-17"
2023007,2,5,2,8,0,7,7,"2023-1-15"
2023006,4,1,0,4,9,4,9,"2023-1-13"
2023005,0,0,4,2,6,2,11,"2023-1-10"
2023004,1,2,5,7,7,9,7,"2023-1-8"
2023003,9,0,1,0,2,9,10,"2023-1-6"
2023002,9,8,4,3,0,4,10,"2023-1-3"
2023001,3,5,0,9,7,8,12,"2023-1-1"
2022150,9,6,9,0,9,0,13,"2022-12-30"
2022149,6,9,8,2,2,4,3,"2022-12-27"
2022148,7,2,9,3,3,1,9,"2022-12-25"
2022147,4,7,1,3,7,8,7,"2022-12-23"
2022146,1,2,0,1,4,1,5,"2022-12-20"
2022145,7,1,6,3,8,8,6,"2022-12-18"
2022144,2,8,7,9,7,7,5,"2022-12-16"
2022143,5,0,4,6,8,6,2,"2022-12-13"
2022142,3,0,3,6,2,7,12,"2022-12-11"
2022141,0,6,0,3,6,7,13,"2022-12-9"
2022140,8,2,4,8,0,4,10,"2022-12-6"
2022139,1,3,3,6,4,9,3,"2022-12-4"
2022138,8,4,5,1,1,4,6,"2022-12-2"
2022137,2,3,9,4,9,0,9,"2022-11-29"
2022136,5,2,2,3,5,4,12,"2022-11-27"
2022135,8,8,1,3,0,7,11,"2022-11-25"
2022134,4,7,9,6,7,2,6,"2022-11-22"
2022133,1,4,7,8,6,1,4,"2022-11-20"
2022132,2,4,7,9,1,2,8,"2022-11-18"
2022131,0,8,2,6,5,1,2,"2022-11-15"
2022130,7,8,0,3,4,8,4,"2022-11-13"
2022129,8,7,3,3,4,0,7,"2022-11-11"
2022128,2,3,6,9,7,1,12,"2022-11-8"
2022127,8,9,4,7,0,0,13,"2022-11-6"
2022126,3,4,4,5,3,3,13,"2022-11-4"
2022125,5,1,9,4,0,5,14,"2022-11-1"
2022124,3,8,4,5,4,9,0,"2022-10-30"
2022123,1,4,6,4,9,8,12,"2022-10-28"
2022122,2,6,4,7,4,9,5,"2022-10-25"
2022121,6,2,8,3,4,9,11,"2022-10-23"
2022120,6,0,8,3,9,4,7,"2022-10-21"
2022119,0,7,8,8,1,6,5,"2022-10-18"
2022118,8,1,0,7,7,1,12,"2022-10-16"
2022117,3,1,2,5,6,9,5,"2022-10-14"
2022116,2,5,9,7,9,1,4,"2022-10-11"
2022115,8,2,3,4,5,0,13,"2022-10-9"
2022114,8,8,9,5,2,6,13,"2022-10-7"
2022113,7,9,1,6,7,3,7,"2022-9-30"
2022112,8,9,2,0,1,1,11,"2022-9-27"
2022111,0,5,0,5,2,0,5,"2022-9-25"
2022110,4,7,7,1,0,8,12,"2022-9-23"
2022109,9,4,8,0,6,8,14,"2022-9-20"
2022108,2,8,5,7,7,2,10,"2022-9-18"
2022107,9,6,3,1,4,7,5,"2022-9-16"
2022106,5,8,0,0,7,9,3,"2022-9-13"
2022105,4,2,3,4,9,4,6,"2022-9-11"
2022104,3,9,5,0,1,6,2,"2022-9-9"
2022103,2,0,2,0,2,3,12,"2022-9-6"
2022102,7,2,5,7,0,5,9,"2022-9-4"
2022101,3,7,7,6,9,0,11,"2022-9-2"
2022100,0,7,4,2,5,6,6,"2022-8-30"
2022099,9,7,9,4,2,0,10,"2022-8-28"
2022098,1,6,8,5,4,4,12,"2022-8-26"
2022097,5,1,0,5,6,2,11,"2022-8-23"
2022096,1,7,8,7,0,6,10,"2022-8-21"
2022095,3,5,7,0,1,6,14,"2022-8-19"
2022094,4,1,6,3,3,1,14,"2022-8-16"
2022093,4,1,7,7,7,4,0,"2022-8-14"
2022092,8,7,8,3,7,5,4,"2022-8-12"
2022091,1,7,9,2,0,7,9,"2022-8-9"
2022090,4,2,4,2,6,2,4,"2022-8-7"
2022089,9,8,7,7,3,1,13,"2022-8-5"
2022088,6,9,6,2,6,4,6,"2022-8-2"
2022087,7,8,0,7,3,9,13,"2022-7-31"
2022086,4,6,4,9,6,3,2,"2022-7-29"
2022085,5,6,7,7,8,7,0,"2022-7-26"
2022084,9,4,2,8,9,2,11,"2022-7-24"
2022083,3,9,2,5,4,1,12,"2022-7-22"
2022082,9,5,2,9,7,0,8,"2022-7-19"
2022081,6,5,2,5,6,2,0,"2022-7-17"
2022080,0,3,9,9,8,0,13,"2022-7-15"
2022079,9,3,0,5,4,3,6,"2022-7-12"
2022078,6,9,4,2,8,8,2,"2022-7-10"
2022077,6,5,1,0,3,0,11,"2022-7-8"
2022076,1,7,8,5,3,8,5,"2022-7-5"
2022075,3,5,3,9,0,8,8,"2022-7-3"
2022074,2,9,0,3,1,1,14,"2022-7-1"
2022073,8,3,8,3,6,1,13,"2022-6-28"
2022072,4,1,3,8,9,3,9,"2022-6-26"
2022071,7,1,7,2,6,2,12,"2022-6-24"
2022070,1,6,8,6,9,9,5,"2022-6-21"
2022069,3,1,3,5,7,0,13,"2022-6-19"
2022068,8,3,9,1,6,8,4,"2022-6-17"
2022067,3,1,0,5,6,8,13,"2022-6-14"
2022066,0,1,2,8,7,2,13,"2022-6-12"
2022065,8,4,1,4,4,7,8,"2022-6-10"
2022064,6,3,8,3,3,0,7,"2022-6-7"
2022063,9,7,1,6,9,2,7,"2022-6-5"
2022062,4,2,1,0,3,0,3,"2022-6-3"
2022061,6,5,6,5,4,1,13,"2022-5-31"
